A,B,A*B in C,D,E,D+E in C,,Expected,Difference
0,-1155,0,-8196,0,-8196,,,
21845,934,311,-8196,311,-7885,,311,0
65536,-128,-128,-7885,-128,-8013,,-128,0
65279,1766,1759,-8013,1759,-6254,,1759,0
58340,2302,2049,-6254,2049,-4205,,2049,0
0,2512,0,-4205,0,-4205,,,
0,401,0,-4205,0,-4205,,,
0,125,0,-4205,0,-4205,,,
0,1031,0,-4205,0,-4205,,,
0,-2314,0,-4205,0,-4205,,,
0,-2040,0,-4205,0,-4205,,,
0,1186,0,-4205,0,-4205,,,
0,403,0,-4205,0,-4205,,,
0,1638,0,-4205,0,-4205,,,
0,943,0,-4205,0,-4205,,,
0,-2262,0,-4205,0,-4205,,,
0,-1940,0,-4205,0,-4205,,,
0,1200,0,-4205,0,-4205,,,
0,-1527,0,-4205,0,-4205,,,
0,2280,0,-4205,0,-4205,,,
0,1034,0,-4205,0,-4205,,,
0,411,0,-4205,0,-4205,,,
0,163,0,-4205,0,-4205,,,
0,-2246,0,-4205,0,-4205,,,
0,-2399,0,-4205,0,-4205,,,
0,-401,0,-4205,0,-4205,,,
0,-1052,0,-4205,0,-4205,,,
0,-426,0,-4205,0,-4205,,,
0,1049,0,-4205,0,-4205,,,
33411,-956,-488,-4205,-488,-4693,,-487,1
65279,789,785,-4693,785,-3908,,786,1
65279,-1280,-1275,-3908,-1275,-5183,,-1275,0
58340,-730,-650,-5183,-650,-5833,,-650,0
0,-1471,0,-5833,0,-5833,,,
0,1849,0,-5833,0,-5833,,,
0,-1875,0,-5833,0,-5833,,,
0,-1532,0,-5833,0,-5833,,,
0,-517,0,-5833,0,-5833,,,
0,-1570,0,-5833,0,-5833,,,
0,-2059,0,-5833,0,-5833,,,
0,2068,0,-5833,0,-5833,,,
0,1421,0,-5833,0,-5833,,,
0,-1801,0,-5833,0,-5833,,,
0,-1180,0,-5833,0,-5833,,,
0,1984,0,-5833,0,-5833,,,
0,1120,0,-5833,0,-5833,,,
0,1902,0,-5833,0,-5833,,,
0,-763,0,-5833,0,-5833,,,
0,1169,0,-5833,0,-5833,,,
0,342,0,-5833,0,-5833,,,
0,-1448,0,-5833,0,-5833,,,
0,857,0,-5833,0,-5833,,,
0,191,0,-5833,0,-5833,,,
0,1095,0,-5833,0,-5833,,,
0,72,0,-5833,0,-5833,,,
0,421,0,-5833,0,-5833,,,
0,-752,0,-5833,0,-5833,,,
37009,-946,-535,-5833,-535,-6368,,-534,1
65279,1854,1846,-6368,1846,-4522,,1847,1
65279,379,377,-4522,377,-4145,,378,1
31097,1789,848,-4145,848,-3297,,849,1
0,1462,0,-3297,0,-3297,,,
0,-901,0,-3297,0,-3297,,,
0,-1195,0,-3297,0,-3297,,,
0,2087,0,-3297,0,-3297,,,
0,-443,0,-3297,0,-3297,,,
0,-2078,0,-3297,0,-3297,,,
0,-278,0,-3297,0,-3297,,,
0,1315,0,-3297,0,-3297,,,
0,1550,0,-3297,0,-3297,,,
0,-1850,0,-3297,0,-3297,,,
0,-467,0,-3297,0,-3297,,,
0,-1842,0,-3297,0,-3297,,,
0,-141,0,-3297,0,-3297,,,
0,-1125,0,-3297,0,-3297,,,
0,623,0,-3297,0,-3297,,,
0,1020,0,-3297,0,-3297,,,
0,-2566,0,-3297,0,-3297,,,
0,-89,0,-3297,0,-3297,,,
0,2977,0,-3297,0,-3297,,,
0,84,0,-3297,0,-3297,,,
0,244,0,-3297,0,-3297,,,
0,-801,0,-3297,0,-3297,,,
0,1558,0,-3297,0,-3297,,,
0,1314,0,-3297,0,-3297,,,
53714,-1613,-1323,-3297,-1323,-4620,,-1322,1
65279,-1765,-1759,-4620,-1759,-6379,,-1758,1
65279,791,787,-6379,787,-5592,,788,1
10794,1988,327,-5592,327,-5265,,327,0
0,-186,0,-5265,0,-5265,,,
0,811,0,-5265,0,-5265,,,
0,1131,0,-5265,0,-5265,,,
0,896,0,-5265,0,-5265,,,
0,-471,0,-5265,0,-5265,,,
0,-2355,0,-5265,0,-5265,,,
0,-1159,0,-5265,0,-5265,,,
0,-169,0,-5265,0,-5265,,,
0,-1870,0,-5265,0,-5265,,,
0,127,0,-5265,0,-5265,,,
0,1269,0,-5265,0,-5265,,,
0,-2292,0,-5265,0,-5265,,,
0,-1612,0,-5265,0,-5265,,,
